id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18687288,Happy 3BR/2.5BA steps to beach sleeps 10 w PKG! MB,129901837,Bic,,Mission Bay,32.79044,-117.25408,Entire home/apt,400,3,15,2018-08-12,0.70,1,0
18688484,"Roof Deck, King Bed, Bikes, 4 Blocks to Beach,",129908841,Mo,,Pacific Beach,32.80351,-117.25011,Entire home/apt,145,3,81,2019-01-21,3.89,1,135
18689668,Stylish Two Bedroom North Park Retreat,9776027,Vicky,,North Hills,32.75306,-117.1444,Entire home/apt,195,2,37,2018-08-28,1.72,1,67
18689865,"Luxury Pacific Beach Custom Home, 1 block to ocean",35441202,Nicholas,,Pacific Beach,32.80127,-117.2577,Entire home/apt,445,4,1,2017-08-10,0.05,1,84
18690840,Essex Retreat 1 Trendy Hillcrest/Garage Parking,18943587,Wade,,Midtown,32.74826,-117.15141,Entire home/apt,120,1,114,2019-03-03,5.29,3,99
18701739,Eclectic Vintage Coziness in Normal Heights!,110044782,Kimbo,,Normal Heights,32.75899,-117.11789,Entire home/apt,95,2,107,2019-02-03,4.81,2,356
18704473,Single Family Home (Up & Coming Neighborhood),18118975,Nicolas,,Memorial,32.70088,-117.13464,Entire home/apt,100,2,1,2017-07-23,0.05,2,15
18716671,Spacious Condo in Beautiful SD,115567596,Lauren,,Mission Valley,32.768,-117.17422,Entire home/apt,99,1,13,2018-01-14,0.60,1,0
18721268,"Cozy Coastal Home with Heated Pool, Spa & A/C!!",130172391,Danielle,,Bay Park,32.78169,-117.18864,Entire home/apt,650,2,6,2018-08-12,0.61,2,0
18728885,"#206, downtown studio at 830 Park",1105249,Matt,,Core,32.71505,-117.15521,Entire home/apt,68,2,88,2019-02-25,4.06,13,156
18734309,Location = Destination,123652135,Anton,,Pacific Beach,32.79773,-117.25441,Entire home/apt,250,2,10,2018-08-19,0.45,1,344
18734721,"#205, Downtown studio at 830 Park",1105249,Matt,,East Village,32.71436,-117.15332,Entire home/apt,68,2,86,2019-02-26,4.00,13,159
18736197,Spacious 2 BR apartment in heart of downtown,6987064,Casey And Mari,,Marina,32.714,-117.1679,Entire home/apt,240,3,15,2019-02-17,0.68,1,89
18737059,"Mission Beach gem, just steps to the water!",106325030,Austin,,Mission Bay,32.77819,-117.25261,Entire home/apt,230,3,23,2019-01-02,1.09,1,0
18748094,Great Location!!  Private Studio,91019352,Amber,,Bay Park,32.80126,-117.20551,Entire home/apt,95,2,45,2018-09-23,2.07,2,299
18749239,Walk to Downtown/Little Italy/Balboa Condo,55586851,Jess,,Cortez Hill,32.72116,-117.15921,Entire home/apt,190,1,15,2018-07-22,0.68,1,0
18750055,New 2 bedroom central to San Diego & hospitals,766039,Pamela,,Bird Land,32.78219,-117.16132,Entire home/apt,265,4,5,2018-07-08,0.32,8,143
18752488,Charming house centrally located,9287441,Elisabeth And Adam,,Bay Ho,32.8137,-117.203,Entire home/apt,150,3,10,2018-08-12,0.50,1,161
18753750,Great Modern Townhome near Downtown & Beaches,9614808,Deepak,,Kearny Mesa,32.8271,-117.14005,Private room,49,15,0,,,1,0
18753841,Magnificent Apartment with Amenities- Location!,1028043,Jesse And Tracy,,Mission Bay,32.79031,-117.23792,Entire home/apt,140,1,23,2019-01-27,1.05,35,360
18754789,Cozy Downtown 2 Bedroom Condo (1 room) Available,130482844,Dj,,Core,32.71654,-117.15752,Private room,77,3,12,2017-08-06,0.55,1,0
18773790,Gorgeous Master Bed/Bath #2 w/ Pool & Jacuzzi!,766039,Pamela,,Bird Land,32.7827,-117.16072,Private room,85,4,12,2018-06-25,0.61,8,144
18777754,Essex Retreat 2 Trendy Hillcrest/Garage Parking,18943587,Wade,,Midtown,32.74683,-117.15106,Entire home/apt,120,1,100,2019-03-03,4.60,3,121
18789814,Cozy Bungalow in University Heights w/AC,756953,Nathaniel,,West University Heights,32.75926,-117.1416,Entire home/apt,78,1,99,2019-02-05,4.66,1,132
18789917,Serene Del Mar Home with Pool and BBQ Patio,6281036,Craig & Debbie,,North City,32.95759,-117.2383,Private room,300,3,22,2019-02-14,1.10,2,115
18790364,Ocean Beach Oasis,114838819,Eric,,Ocean Beach,32.75147,-117.24913,Entire home/apt,450,3,45,2019-03-04,2.50,17,263
18792722,716 Kingston Court - King's Quarters,2772383,San Diego,,Mission Bay,32.77462,-117.25176,Entire home/apt,352,3,13,2018-12-30,0.72,32,89
18792745,Small Family Home and Garden- San Diego,130803132,Rachel,,Webster,32.72341,-117.09152,Entire home/apt,110,3,1,2018-12-31,0.42,1,0
18793228,4 Private Patios ☆ 2 Fireplaces ☆ Panoramic Views,3017970,Surf Style,,Mission Bay,32.76693,-117.25034,Entire home/apt,329,3,9,2019-01-10,0.55,60,248
18793424,Canyon Views! 3BR/2BA Near Best Beaches & SeaWorld,128459749,Simone,,North Clairemont,32.82278,-117.2001,Entire home/apt,175,3,72,2019-02-24,3.36,2,76
18793654,Super Cute Studio in the heart of South Park!!!,96702700,Tyler,,Balboa Park,32.72617,-117.13122,Entire home/apt,88,2,93,2019-03-03,4.68,4,157
18795680,5 STAR HOME-4BR-2.5Baths---Sleeps 8+,130836830,Kari,,Carmel Valley,32.91963,-117.22243,Entire home/apt,204,14,81,2019-03-09,3.79,1,94
18796921,CENTER of HILLCREST! Walk to everything! REMODELED,22536428,Theodore,,Midtown,32.74896,-117.15651,Entire home/apt,149,2,84,2019-01-20,3.88,1,0
18797100,Beautiful Suite/Zen Yard/Private Entrance/SDSU,99544800,Brenda,,Rolando,32.76178,-117.05932,Entire home/apt,75,2,45,2019-03-03,2.13,1,249
18802340,Private Studio near Airport,128465619,Roxy,,Midtown,32.74541,-117.17973,Entire home/apt,60,2,18,2018-12-02,1.24,1,0
18808933,Beautiful Colonial Style Home in South Park,25044306,Jason,,Balboa Park,32.72266,-117.13272,Private room,125,1,4,2017-11-29,0.18,1,0
18809168,"Time for your urban SoCal experience, Find Your Rhythm in Unique Little Italy!",36653013,Property Connection,,Little Italy,32.72185,-117.16645,Entire home/apt,139,30,1,2017-08-01,0.05,13,331
18809438,"Sand, Sun, & Fun - Beach Cottage Getaway just steps from the Beach & Bay!",36653013,Property Connection,,Mission Bay,32.77589,-117.2521,Entire home/apt,357,3,2,2018-07-29,0.26,13,276
18809602,Modern Home next to Mission Bay,130952117,Stephanie,,Moreno Mission,32.76442,-117.18663,Private room,100,28,9,2018-12-21,0.41,1,180
18809651,Wonderful Place to Call Home - Quick Access to all that SoCal has to offer!,36653013,Property Connection,,Mira Mesa,32.92748,-117.16059,Entire home/apt,154,30,3,2018-07-25,0.17,13,290
18809932,Executive Furnished Apt Next to Down town SD- Amaz,130954997,Heather,,Balboa Park,32.71827,-117.13819,Entire home/apt,131,25,1,2017-09-02,0.05,21,365
18812149,The Pacific Beach Getaway,6989965,Greg,,Pacific Beach,32.79934,-117.25105,Entire home/apt,449,4,12,2018-08-16,0.58,3,68
18814278,Comfy Couch in Pacific Beach,25180529,Vladimir,,Pacific Beach,32.79328,-117.24453,Shared room,49,1,0,,,1,0
18817044,Niki's Intl-6 female dorm- top bunk,131016216,Eric,,Mission Bay,32.77146,-117.25206,Shared room,30,2,3,2018-04-16,0.20,7,365
18823465,Stay in the Heart of Mission Beach!!!,126149371,Adam,,Mission Bay,32.7801,-117.25345,Entire home/apt,275,2,55,2018-12-28,2.53,3,73
